,from_player_id,from_player_name
0,0,REFEREE
1,381604,GABI NUNES
2,420326,DALILA IPPOLITO
3,398375,DUDA SANTOS
4,420334,ELIANA STABILE
5,420470,ANTONIA
6,461589,CELESTE DOS SANTOS
7,420328,MIRIAM MAYORGA
8,430580,DUDA SAMPAIO
9,461594,ROMINA NUNEZ
10,357688,ALDANA COMETTI
11,359269,GABI PORTILHO
12,296322,RAFAELLE
13,277429,MARIANA LARROQUETTE
14,461590,SOPHIA BRAUN
15,480156,THAIS FERREIRA
16,381460,YASMIM
17,443404,VITORIA YAYA
18,296328,BIA ZANERATTO
19,461591,JULIETA CRUZ
20,480150,VANINA PREININGER
21,255070,LUCIANA
22,330068,LAURINA OLIVEROS
23,417317,YAMILA RODRIGUEZ
24,357671,CAMILA GOMEZ ARES
25,413090,ARY BORGES
26,398377,GEYSE
27,420474,ADRIANA
28,420475,ALINE MILENE
29,461596,CATALINA ROGGERONE
30,461583,MARICEL PEREYRA
31,358509,JULIA
32,461595,ESTEFANIA PALOMAR
33,481690,MIA ASENJO
34,481688,WINIBIAN PERALTA
35,481657,VANESSA KARA
36,481675,NADIA COLON
37,481643,BRIANNE REED
38,481647,JAYLEN VALLECILLO
39,481736,GIOVANNA DIONICIO
40,481706,LUCIA MARTE
41,481656,GABRIELLA CUEVAS
42,481692,RENATA MERCEDES
43,481823,PALOMA PENA
44,481720,KATHRYNN GONZALEZ
45,481659,JAZMIN JACKSON
46,461597,CHIARA SINGARELLA
47,420324,DAIANA FALFAN
48,481707,ALEXA PACHECO
49,414406,KEISLA GIL
50,481843,ANGELINA VARGAS
51,420318,BENITEZ LORENA
52,420238,BONANSEA BARBARA
53,467085,DI GUGLIELMO LUCIA
54,378008,GIUGLIANO MANUELA
55,467062,DRAGONI GIULIA
56,330067,BANINI ESTEFANIA
57,357674,BONSEGUNDO FLORENCIA
58,420242,CARUSO ARIANNA
59,377971,BOATTIN LISA
60,377961,DURANTE FRANCESCA
61,357527,SALVAI CECILIA
62,467080,BECCARI CHIARA
63,357525,LINARI ELENA
64,420247,GIACINTI VALENTINA
65,199325,CORREA VANINA
66,467086,GREGGI GIADA
67,467061,CANTORE SOFIA
68,420248,GIRELLI CRISTIANA
69,461584,GRAMAGLIA PAULINA
70,250982,CHARLYN CORRAL
71,377867,REBECA BERNAL
72,397030,JACQUELINE OVALLE
73,387196,MARIA SANCHEZ
74,359124,KARLA NIETO
75,302322,STEPHANY MAYOR
76,359101,GRETA ESPINOZA
77,397314,KARINA RODRIGUEZ
78,381454,ALEXIA DELGADO
79,359094,ESTHEFANNY BARRERAS
80,398137,KAREN LUNA
81,397038,ARACELI TORRES
82,398131,KIANA PALACIOS
83,481834,JASMINE CASAREZ
84,481898,DIANA ORDONEZ
85,395378,RAMALEPE LEBOHANG
86,356922,JANE REFILOE
87,326444,SEOPOSENWE JERMAINE
88,395373,KGATLANA THEMBI
89,467506,CESANE NOXOLO
90,395368,MOTLHALO LINDA
91,415578,DHLAMINI KARABO
92,467493,MAGAIA HILDAH
93,395379,MBANE BAMBANANI
94,420048,GAMEDE BONGEKA
95,325696,SWART KAYLIN
96,420045,BIYANA KHOLOSA
97,420050,MAKHUBELA TIISETSO
98,415569,HOLWENI SIBULELE
99,461593,LONIGRO ERICA
100,326440,KGOALE MAPULA
101,467497,KGADIETE MELINDA
102,398250,BLOMQVIST REBECKA
103,324571,ILESTEDT AMANDA
104,420379,JANOGY MADELEN
105,357669,SACHS ADRIANA
106,466965,SANDBERG ANNA
107,420373,BENNISON HANNA
108,321274,JAKOBSSON SOFIA
109,466979,LENNARTSSON STINA 
110,321281,SCHOUGH OLIVIA
111,386970,ERIKSSON MAGDALENA
112,265238,SEGER CAROLINE
113,420376,FALK JENNIFER
114,324596,RUBENSSON ELIN
115,387093,HURTIG LINA
116,298806,SEMBRANT LINDA
117,251033,CHAVEZ GABRIELA
118,398268,KANERYD JOHANNA
119,395148,BLACKSTENIUS STINA
120,302753,ALEX MORGAN
121,357577,LINDSEY HORAN
122,415662,TRINITY RODMAN
123,397281,NAOMI GIRMA
124,443202,JAEDYN SHAW
125,443189,KORBIN ALBERT
126,381352,ROSE LAVELLE
127,321014,CASEY KRUEGER
128,420165,TIERNA DAVIDSON
129,300533,CRYSTAL DUNN
130,381356,CASEY MURPHY
131,397320,SOPHIA SMITH
132,357595,EMILY SONNETT
133,398183,EMILY FOX
134,397302,JENNA NIGHSWONGER
135,413129,SAMANTHA COFFEY
