"version","match_id","match_run_time_in_ms","match_run_time","match_time_in_ms","event_id","player_seq_id","event_order","half_time","side","category","event","event_type","action_type","from_player_id","from_player_name","from_player_shirt_number","to_player_id","to_player_name","to_player_shirt_number","team_id","team_name","sequence_type","outcome","outcome_additional","opposition_touch","body_type","direction","pressure","style","style_additional","frame_location","game_state","game_period","game_period_additional","game_involvement","origin","origin_additional","save_type","save_detail","stance","x_frame","y_frame","movement","offering_to_receive_total_units","line_break_direction","line_break_outcome","team_shape","team_unit","team_units_broken","total_team_units","event_end_time_in_ms","x","x_mirrored","y","y_mirrored","x_location_start","x_location_start_mirrored","x_location_end","x_location_end_mirrored","y_location_start","y_location_start_mirrored","y_location_end","y_location_end_mirrored"
"v1.1",131913,0,"00:00:00",-289,1,1,1,1,"","referee_action","game_period_start","game_period_action","",0,"REFEREE","","","","",0,"TEAM REFEREES","","","","","","","","","","","","first_half","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v1.1",131913,289,"00:00:00",0,2,2,1,1,"r","in_possession","kickoff","start_restart","",398250,"BLOMQVIST REBECKA",15,"","","",1882883,"SWEDEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.48533333333333334,0.5146666666666666,0.5095588235294117,0.49044117647058827,"","","","","","","",""
"v1.1",131913,289,"00:00:00",0,3,2,2,1,"r","in_possession","pass","distribution","",398250,"BLOMQVIST REBECKA",15,324571,"ILESTEDT AMANDA",13,1882883,"SWEDEN","","possession_complete","","","right_foot","","no_pressure","push","","","","","","","","","","","","","","","","","no_line_break","","","","","",0.48533333333333334,0.5146666666666666,0.5095588235294117,0.49044117647058827,0.48533333333333334,0.5146666666666666,0.6337142857142857,0.3662857142857143,0.5095588235294117,0.49044117647058827,0.5451470588235294,0.45485294117647057
"v1.1",131913,699,"00:00:00",410,4,3,1,1,"l","out_of_possession","pushing_on","defensive_pressure","",277429,"LARROQUETTE MARIANA",19,"","","",1884881,"ARGENTINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5021904761904762,0.5021904761904762,0.38,0.38,"","","","","","","",""
"v1.1",131913,1529,"00:00:01",1240,5,2,3,1,"r","in_possession","possession_outcome","possession_outcome","",398250,"BLOMQVIST REBECKA",15,"","","",1882883,"SWEDEN","possession","possession_complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6337142857142857,0.3662857142857143,0.5451470588235294,0.45485294117647057,"","","","","","","",""
"v1.1",131913,1529,"00:00:01",1240,6,4,1,1,"r","in_possession","no_offer","offering_to_receive","",324571,"ILESTEDT AMANDA",13,"","","",1882883,"SWEDEN","","","","","","","","","","","","","","","","","","","","","","no_movement",2,"","","","","","",1529,0.6371428571428571,0.3628571428571429,0.5345588235294118,0.46544117647058825,"","","","","","","",""
"v1.1",131913,1529,"00:00:01",1240,7,4,2,1,"r","in_possession","reception","receiving_possession","kickoff",324571,"ILESTEDT AMANDA",13,"","","",1882883,"SWEDEN","","","","","","","no_pressure","","","","","","","","","","","","","","","","","","","inside","in_front","",2,"",0.6371428571428571,0.3628571428571429,0.5345588235294118,0.46544117647058825,"","","","","","","",""
"v1.1",131913,1539,"00:00:01",1250,8,3,2,1,"l","out_of_possession","pressing","defensive_pressure","",277429,"LARROQUETTE MARIANA",19,"","","",1884881,"ARGENTINA","","","","","","shown_outside","indirect_pressure","","","","","","","","","","","","","","","","","","","","","","","",0.5240952380952381,0.5240952380952381,0.4260294117647059,0.4260294117647059,"","","","","","","",""
"v1.1",131913,2969,"00:00:03",2680,9,4,3,1,"r","in_possession","pass","distribution","",324571,"ILESTEDT AMANDA",13,"","","",1882883,"SWEDEN","","possession_incomplete","player_on_ball_error","","right_foot","","no_pressure","lofted","","","","","","","","","","","","","","","","over","line_break_incomplete","inside","","1",2,"",0.6147619047619047,0.38523809523809527,0.5639705882352941,0.4360294117647059,0.6147619047619047,0.38523809523809527,0.25076190476190474,0.7492380952380953,0.5639705882352941,0.4360294117647059,0.2638235294117647,0.7361764705882353
"v1.1",131913,2979,"00:00:03",2690,10,3,3,1,"l","out_of_possession","possession_outcome","possession_outcome","",277429,"LARROQUETTE MARIANA",19,"","","",1884881,"ARGENTINA","possession","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5724761904761905,0.5724761904761905,0.5269117647058823,0.5269117647058823,"","","","","","","",""
